Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun)(A);Pengurangan Sampah Tahunan (ton/tahun)(B);%Pengurangan Sampah(B/A);Penanganan Sampah Tahunan (ton/tahun)(C);%Penanganan Sampah(C/A);Sampah Terkelola Tahunan (ton/tahun)(B+C);%Sampah Terkelola(B+C)/A;Daur ulang Sampah Tahunan (ton/tahun)(D);Bahan baku Sampah Tahunan (ton/tahun)(E);Recycling Rate(D+E)/A;P1/P2
2022;Jawa Tengah;Kab. Rembang;92026.00;14801.36;16.08;13937.01;15.14;28738.37;31.23;14263.99;4.38;15.50;P 2
2022;Jawa Tengah;Kab. Kudus;163578.95;37913.44;23.18;68334.09;41.77;106247.54;64.95;36728.75;21219.89;35.43;P 2
2022;Jawa Tengah;Kab. Jepara;150516.42;20354.24;13.52;60798.05;40.39;81152.29;53.92;9683.99;1449.05;7.40;P 2
2022;Jawa Tengah;Kab. Demak;263666.36;1800.94;0.68;32850.00;12.46;34650.94;13.14;1800.94;;0.68;P 2
2022;Jawa Tengah;Kab. Semarang;193421.53;25883.47;13.38;75135.25;38.85;101018.72;52.23;12542.52;36.50;6.50;P 2
2022;Jawa Tengah;Kab. Temanggung;146050.37;40682.72;27.86;45764.61;31.33;86447.33;59.19;32028.34;2564.61;23.69;P 2
2022;Jawa Tengah;Kab. Kendal;149652.92;754.57;0.50;59696.30;39.89;60450.86;40.39;586.18;46.61;0.42;P 2
2022;Jawa Tengah;Kab. Batang;207055.41;8601.88;4.15;41975.00;20.27;50576.88;24.43;8.16;;0.00;P 2
2022;Jawa Tengah;Kab. Pekalongan;142569.58;15338.30;10.76;51100.00;35.84;66438.30;46.60;5713.20;;4.01;P 2
2022;Jawa Tengah;Kab. Pemalang;216694.51;56081.45;25.88;128936.62;59.50;185018.06;85.38;56081.45;8486.62;29.80;P 2
2022;Jawa Tengah;Kab. Tegal;306466.23;46706.34;15.24;131765.00;42.99;178471.34;58.24;44365.86;;14.48;P 2
2022;Jawa Tengah;Kab. Brebes;366937.60;2385.77;0.65;48577.85;13.24;50963.62;13.89;6.99;;0.00;P 2
2022;Jawa Tengah;Kota Magelang;29384.62;5758.03;19.60;22019.29;74.93;27777.31;94.53;5745.91;117.71;19.95;P 2
2022;Jawa Tengah;Kota Surakarta;137345.45;18262.64;13.30;116991.99;85.18;135254.63;98.48;11795.34;;8.59;P 2
2022;Jawa Tengah;Kota Salatiga;41668.28;7878.27;18.91;32306.52;77.53;40184.80;96.44;7675.51;3000.67;25.62;P 2
2022;Jawa Tengah;Kota Semarang;431085.22;112850.45;26.18;314187.98;72.88;427038.43;99.06;60774.61;297.48;14.17;P 2
2022;Jawa Tengah;Kota Tegal;79365.97;21059.41;26.53;57421.80;72.35;78481.21;98.89;9551.16;3328.80;16.23;P 2
2022;D.I. Yogyakarta;Kab. Kulon Progo;64730.71;17612.65;27.21;11680.00;18.04;29292.65;45.25;17507.93;;27.05;P 2
2022;D.I. Yogyakarta;Kab. Gunungkidul;137871.89;29401.68;21.33;18363.88;13.32;47765.56;34.64;28917.04;77.38;21.03;P 2
2022;D.I. Yogyakarta;Kota Yogyakarta;110642.60;12384.62;11.19;97699.18;88.30;110083.80;99.49;12384.62;612.83;11.75;P 2
