Tahun;Provinsi;Kabupaten/Kota;Timbulan Sampah Tahunan (ton/tahun)(A);Pengurangan Sampah Tahunan (ton/tahun)(B);%Pengurangan Sampah(B/A);Penanganan Sampah Tahunan (ton/tahun)(C);%Penanganan Sampah(C/A);Sampah Terkelola Tahunan (ton/tahun)(B+C);%Sampah Terkelola(B+C)/A;Daur ulang Sampah Tahunan (ton/tahun)(D);Bahan baku Sampah Tahunan (ton/tahun)(E);Recycling Rate(D+E)/A;P1/P2
2022;Kalimantan Utara;Kab. Nunukan;15576.81;3831.33;24.60;7897.21;50.70;11728.54;75.29;2412.79;1845.51;27.34;P 2
2022;Kalimantan Utara;Kab. Tana Tidung;5177.89;5.02;0.10;4097.71;79.14;4102.73;79.24;5.02;;0.10;P 2
2022;Sulawesi Utara;Kab. Bolaang Mongondow;45712.24;3966.30;8.68;7300.00;15.97;11266.30;24.65;8.00;;0.02;P 2
2022;Sulawesi Utara;Kab. Minahasa;63632.82;17144.28;26.94;41245.00;64.82;58389.28;91.76;17041.85;;26.78;P 2
2022;Sulawesi Utara;Kab. Kepulauan Sangihe;20393.86;1135.74;5.57;11811.40;57.92;12947.14;63.49;5.31;;0.03;P 2
2022;Sulawesi Utara;Kab. Minahasa Selatan;34523.60;4203.66;12.18;11265.00;32.63;15468.66;44.81;882.87;8.40;2.58;P 2
2022;Sulawesi Utara;Kab. Minahasa Utara;43114.17;5006.61;11.61;22885.50;53.08;27892.11;64.69;992.35;;2.30;P 2
2022;Sulawesi Utara;Kab. Minahasa Tenggara;16840.95;1641.93;9.75;7965.03;47.30;9606.96;57.05;30.00;8.03;0.23;P 2
2022;Sulawesi Utara;Kab. Bolaang Mongondow Utara;12651.86;426.50;3.37;5657.50;44.72;6084.00;48.09;;;0.00;P 2
2022;Sulawesi Utara;Kab. Kep. Siau Tagulandang Biaro;10776.55;619.40;5.75;3244.85;30.11;3864.25;35.86;;40.15;0.37;P 2
2022;Sulawesi Utara;Kab. Bolaang Mongondow Timur;13476.24;675.25;5.01;912.50;6.77;1587.75;11.78;;0.00;0.00;P 2
2022;Sulawesi Utara;Kab. Bolaang Mongondow Selatan;10553.46;9.75;0.09;1533.00;14.53;1542.75;14.62;;;0.00;P 2
2022;Sulawesi Utara;Kota Manado;106241.06;5297.94;4.99;80957.00;76.20;86254.94;81.19;3455.14;657.00;3.87;P 2
2022;Sulawesi Utara;Kota Bitung;58055.22;2418.54;4.17;41245.00;71.04;43663.54;75.21;81.03;;0.14;P 2
2022;Sulawesi Utara;Kota Tomohon;18510.43;1638.83;8.85;13870.00;74.93;15508.83;83.78;;;0.00;P 2
2022;Sulawesi Utara;Kota Kotamobagu;31463.80;4554.80;14.48;22100.75;70.24;26655.55;84.72;2638.49;155.13;8.88;P 2
2022;Sulawesi Tengah;Kab. Banggai;68767.46;3965.61;5.77;44451.53;64.64;48417.14;70.41;424.33;3.29;0.62;P 2
2022;Sulawesi Tengah;Kab. Donggala;44232.89;1482.29;3.35;6834.99;15.45;8317.29;18.80;926.81;9.49;2.12;P 2
2022;Sulawesi Tengah;Kab. Morowali;30643.58;673.06;2.20;4262.58;13.91;4935.64;16.11;0.00;0.58;0.00;P 2
2022;Sulawesi Tengah;Kab. Parigi Moutong;82582.53;1687.38;2.04;5658.96;6.85;7346.34;8.90;1683.27;1.46;2.04;P 2
2022;Sulawesi Tengah;Kab. Sigi;47008.35;4429.30;9.42;10599.60;22.55;15028.90;31.97;266.85;;0.57;P 2
2022;Sulawesi Tengah;Kab. Banggai Laut;13549.90;208.08;1.54;4215.75;31.11;4423.83;32.65;208.08;;1.54;P 2
2022;Sulawesi Tengah;Kab. Morowali Utara;22308.80;;;3131.70;14.04;3131.70;14.04;;;0.00;P 2
2022;Sulawesi Tengah;Kota Palu;74073.65;6673.48;9.01;62513.55;84.39;69187.03;93.40;604.26;;0.82;P 2
2022;Sulawesi Selatan;Kab. Kepulauan Selayar;20144.20;1030.46;5.12;5381.59;26.72;6412.05;31.83;897.24;;4.45;P 2
2022;Sulawesi Selatan;Kab. Bulukumba;65304.63;14131.96;21.64;47756.60;73.13;61888.56;94.77;2100.35;306.60;3.69;P 2
2022;Sulawesi Selatan;Kab. Bantaeng;29562.37;7596.73;25.70;9714.11;32.86;17310.84;58.56;7207.71;647.51;26.57;P 2
2022;Sulawesi Selatan;Kab. Jeneponto;59204.17;4938.25;8.34;20963.78;35.41;25902.03;43.75;2634.76;67.53;4.56;P 2
2022;Sulawesi Selatan;Kab. Sinjai;39319.84;9823.36;24.98;26451.55;67.27;36274.91;92.26;7440.53;;18.92;P 2
2022;Sulawesi Selatan;Kab. Bone;148115.18;23954.62;16.17;72927.00;49.24;96881.62;65.41;21917.80;;14.80;P 2
2022;Sulawesi Selatan;Kab. Maros;58951.00;13437.24;22.79;30112.50;51.08;43549.74;73.87;3292.65;182.50;5.89;P 2
2022;Sulawesi Selatan;Kab. Pangkajene Kepulauan;51530.55;5977.39;11.60;21911.01;42.52;27888.40;54.12;5456.27;11.01;10.61;P 2
2022;Sulawesi Selatan;Kab. Soppeng;34393.80;3883.03;11.29;22795.35;66.28;26678.38;77.57;3160.51;102.20;9.49;P 2
2022;Sulawesi Selatan;Kab. Wajo;55428.46;3161.89;5.70;41705.56;75.24;44867.45;80.95;1274.79;105.78;2.49;P 2
2022;Sulawesi Selatan;Kab. Sidenreng Rappang;47186.32;9182.19;19.46;26174.02;55.47;35356.22;74.93;8941.07;437.87;19.88;P 2
2022;Sulawesi Selatan;Kab. Pinrang;65861.77;15238.71;23.14;29183.87;44.31;44422.58;67.45;15089.11;;22.91;P 2
2022;Sulawesi Selatan;Kab. Enrekang;41740.67;6814.98;16.33;14308.00;34.28;21122.98;50.61;4913.33;4088.00;21.56;P 2
2022;Sulawesi Selatan;Kab. Luwu Timur;43874.61;6848.42;15.61;24528.00;55.90;31376.42;71.51;5636.91;73.00;13.01;P 2
2022;Sulawesi Selatan;Kab. Toraja Utara;57847.76;3068.63;5.30;16790.00;29.02;19858.63;34.33;3047.17;;5.27;P 2
2022;Sulawesi Selatan;Kota Parepare;28388.97;4813.84;16.96;21121.71;74.40;25935.55;91.36;1707.63;6.46;6.04;P 2
2022;Sulawesi Selatan;Kota Palopo;34187.91;2024.37;5.92;23086.25;67.53;25110.62;73.45;278.24;91.25;1.08;P 2
2022;Sulawesi Tenggara;Kab. Kolaka;44021.60;3234.49;7.35;12811.50;29.10;16045.99;36.45;3225.87;36.50;7.41;P 2
2022;Sulawesi Tenggara;Kab. Wakatobi;29455.57;5593.44;18.99;11209.15;38.05;16802.59;57.04;;7.30;0.02;P 2
2022;Sulawesi Tenggara;Kab. Kolaka Utara;20340.57;1150.77;5.66;4311.11;21.19;5461.89;26.85;678.73;113.61;3.90;P 2
2022;Sulawesi Tenggara;Kab. Buton Selatan;8026.71;;;1204.50;15.01;1204.50;15.01;;;0.00;P 2
2022;Sulawesi Tenggara;Kota Kendari;98476.88;18528.30;18.81;73328.94;74.46;91857.24;93.28;3299.91;328.94;3.68;P 2
2022;Sulawesi Tenggara;Kota Bau Bau;29923.25;3284.53;10.98;26280.00;87.82;29564.53;98.80;3212.00;;10.73;P 2
2022;Gorontalo;Kab. Gorontalo;57762.71;466.95;0.81;7639.45;13.23;8106.40;14.03;0.00;0.00;0.00;P 2
2022;Gorontalo;Kab. Bone Bolango;18198.90;2612.08;14.35;3546.70;19.49;6158.78;33.84;432.53;232.51;3.65;P 2
2022;Gorontalo;Kab. Pohuwato;21562.59;6725.84;31.19;6265.04;29.06;12990.88;60.25;5501.20;3118.74;39.98;P 2
2022;Gorontalo;Kota Gorontalo;51646.51;12541.70;24.28;36748.20;71.15;49289.90;95.44;11231.41;365.00;22.45;P 2
2022;Sulawesi Barat;Kab. Majene;25898.94;763.02;2.95;11242.00;43.41;12005.02;46.35;723.52;;2.79;P 2
2022;Sulawesi Barat;Kab. Mamuju Tengah;20057.48;0.00;0.00;4745.00;23.66;4745.00;23.66;;;0.00;P 2
2022;Maluku;Kab. Maluku Tengah;62010.58;35.68;0.06;4745.00;7.65;4780.68;7.71;35.68;;0.06;P 2
2022;Maluku;Kab. Buru Selatan;11355.30;804.36;7.08;7635.80;67.24;8440.16;74.33;;;0.00;P 2
2022;Maluku Utara;Kab. Halmahera Utara;50497.02;517.21;1.02;12233.00;24.23;12750.21;25.25;517.21;;1.02;P 2
2022;Maluku Utara;Kota Tidore Kepulauan;16904.46;1598.62;9.46;11065.92;65.46;12664.54;74.92;1598.62;13.72;9.54;P 2
2022;Papua;Kab. Jayapura;31360.25;5665.65;18.07;23849.10;76.05;29514.75;94.12;5493.25;;17.52;P 2
2022;Papua;Kab. Kepulauan Yapen;16779.78;40.79;0.24;15899.40;94.75;15940.19;95.00;36.50;;0.22;P 2
2022;Papua;Kab. Biak Numfor;21434.55;3954.15;18.45;14800.75;69.05;18754.90;87.50;3863.50;18.25;18.11;P 2
2022;Papua;Kab. Sarmi;6109.95;0.00;0.00;2168.10;35.48;2168.10;35.48;;;0.00;P 2
2022;Papua;Kab. Waropen;5285.20;3.03;0.06;2190.00;41.44;2193.03;41.49;3.03;;0.06;P 2
2022;Papua;Kota Jayapura;79528.32;958.06;1.20;65692.70;82.60;66650.76;83.81;556.05;;0.70;P 2
2022;Papua Barat;Kab. Manokwari;59627.83;365.00;0.61;40861.75;68.53;41226.75;69.14;365.00;;0.61;P 2
2022;Papua Barat;Kab. Teluk Wondama;6697.17;0.00;0.00;2131.97;31.83;2131.97;31.83;;;0.00;P 2
2022;Papua Barat;Kab. Kaimana;9290.42;13.36;0.14;4595.35;49.46;4608.71;49.61;12.78;;0.14;P 2
2022;Papua Selatan;Kab. Merauke;33924.12;935.62;2.76;13172.12;38.83;14107.74;41.59;620.98;50.37;1.98;P 2
2022;Papua Selatan;Kab. Boven Digoel;9518.18;0.00;0.00;2153.50;22.63;2153.50;22.63;;;0.00;P 2
2022;Papua Selatan;Kab. Asmat;16624.29;178.65;1.07;3285.00;19.76;3463.65;20.83;164.25;;0.99;P 2
2022;Papua Tengah;Kab. Mimika;57742.09;0.00;0.00;29901.71;51.78;29901.71;51.78;;;0.00;P 2
2022;Papua Barat Daya;Kab. Sorong;18162.69;1343.48;7.40;5179.35;28.52;6522.83;35.91;885.99;;4.88;P 2
